Starting...
2023-08-23 20:47:12.389 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:12.589 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:12.787 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:12.987 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:13.187 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:13.387 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:13.592 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:13.786 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:13.989 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:14.189 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:14.389 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:14.588 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:14.788 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:14.987 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:15.19 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:15.392 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:15.587 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:15.787 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:15.987 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:16.191 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:16.388 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:16.587 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:16.788 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:16.989 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:17.187 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:17.388 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:17.585 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:17.787 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:17.99 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:18.189 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:18.388 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:18.588 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:18.791 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:18.988 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:19.19 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:19.388 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:19.588 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:19.789 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:19.988 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:20.186 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:20.387 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:20.589 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:20.788 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:20.993 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:21.187 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:21.386 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:21.588 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:21.789 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:21.991 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:22.187 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:22.388 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:22.588 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:22.827 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:22.987 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:23.187 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:23.39 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:23.589 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:23.787 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:23.986 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:24.192 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:24.388 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:24.586 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:24.788 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:24.995 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:25.185 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:25.388 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:25.587 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:25.789 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:26.052 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:26.189 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:26.388 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:26.586 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:26.791 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:26.991 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:27.188 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:27.397 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:27.59 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:27.786 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:27.986 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:28.186 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:28.389 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:28.588 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:28.786 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:28.987 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:29.188 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:29.388 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:29.588 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:29.791 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:29.989 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:30.187 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:30.388 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:30.588 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:30.792 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:30.987 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:31.187 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:31.387 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:31.588 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:31.787 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:31.99 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:32.187 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:32.391 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:32.586 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:32.786 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:32.993 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:33.188 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:33.387 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:33.588 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:33.788 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:33.986 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:34.187 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:34.386 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:34.587 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:34.79 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:34.987 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:35.186 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:35.388 +0000 UTC | LIDAR | SUCC 
